Time	MABP [mmHg]	CBFV-L [cm/s]	CBFV-R [cm/s]	etCO2 [kPa]	MN					
43.8000	79.4171	67.0221	0.0000	4.2139	2.0000
43.9000	79.2843	66.6532	0.0000	4.2054	2.0000
44.0000	79.1516	66.2842	0.0000	4.1970	2.0000
44.1000	79.0188	65.9153	0.0000	4.1885	2.0000
44.2000	78.8861	65.5463	0.0000	4.1800	2.0000
44.3000	78.7533	65.1774	0.0000	4.1716	2.0000
44.4000	78.6205	64.8084	0.0000	4.1631	2.0000
44.5000	78.5229	64.5095	0.0000	4.1546	2.0000
44.6000	78.7416	64.8403	0.0000	4.1462	2.0000
44.7000	78.9602	65.1711	0.0000	4.1377	2.0000
44.8000	79.1788	65.5020	0.0000	4.1292	2.0000
44.9000	79.3975	65.8328	0.0000	4.1207	2.0000
45.0000	79.6161	66.1637	0.0000	4.1123	2.0000
45.1000	79.8347	66.4945	0.0000	4.1038	2.0000
45.2000	80.0534	66.8254	0.0000	4.0953	2.0000
45.3000	80.2720	67.1562	0.0000	4.0869	2.0000
